State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Gundlupet,SriVenkateshwaraChitramandiraGundlupet,Kannada,01:00,Balcony,100₹,165,82
Karnataka,Gundlupet,SriVenkateshwaraChitramandiraGundlupet,Kannada,01:00,First,80₹,517,517
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,02:30,Balcony,100₹,230,92
Karnataka,Gadag,ShriKrishnaTheatreDolbyDigital71Gadag,Kannada,02:30,DressCircle,80₹,537,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,15:00,Club,140₹,200,0
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Kannada,15:15,Premium,150₹,89,12
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,15:25,Normal,150₹,24,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,15:25,Premium,150₹,20,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,15:25,Executive,150₹,50,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Kannada,15:55,Silver,140₹,67,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Kannada,15:55,Premiere,130₹,78,0
Karnataka,Bangalore,AshokaTheatreChikkabanavara,Kannada,16:00,Balcony,120₹,193,141
Karnataka,Bangalore,AshokaTheatreChikkabanavara,Kannada,16:00,First,100₹,283,179
Karnataka,Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,16:00,Balcony,100₹,109,0
Karnataka,Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,16:00,First,80₹,600,392
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,16:00,Gold,200₹,79,0
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,16:00,Premier,180₹,180,0
Karnataka,Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,16:30,Balcony,100₹,109,0
Karnataka,Krishnarajanagara,SriVenkateshwaraChitramandiraKrishnarajanagara,Kannada,16:30,First,80₹,600,392
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,16:30,Balcony,150₹,150,64
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,16:30,First,100₹,460,132
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,16:30,Club,160₹,209,5
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Kannada,16:45,Premium,150₹,36,0
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,18:00,Balcony,150₹,150,65
Karnataka,Shivamogga,HpcChitramandirBalarajUrsRoad,Kannada,18:00,First,100₹,460,132
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,18:20,Royale,220₹,9,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,18:20,Club,140₹,70,0
Karnataka,Bangalore,InoxRmzGalleriaMallYelahanka,Kannada,18:20,Executive,130₹,128,1
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,18:20,Recliner,250₹,14,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,18:20,Prime,170₹,80,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,18:20,Classic,150₹,128,0
Karnataka,Bangalore,PvrMsrElementsMallTanisandhraMainRoad,Kannada,18:25,Classic,150₹,95,0
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,18:30,Recliner,300₹,12,1
Karnataka,Bangalore,PvrForumMallKoramangala,Kannada,18:30,Classic,160₹,138,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,18:30,Gold,200₹,10,3
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,18:30,Executive,110₹,192,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,18:30,Special,110₹,80,0
