State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,MaxusCinemasBorivaliW,Hindi,07:45,Sofa,199₹,36,0
Maharashtra,Mumbai,MaxusCinemasBorivaliW,Hindi,07:45,PremiumPlus,112₹,198,0
Maharashtra,Mumbai,MaxusCinemasBorivaliW,Hindi,07:45,Premium,99₹,42,0
Maharashtra,Thane,MaxusCinemasMaxusMallBhayandar,Hindi,07:45,Sofa,149₹,100,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Hindi,08:25,PremiumReclineOffline,220₹,19,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Hindi,08:25,PlatinumOffline,112₹,189,5
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Hindi,08:25,GoldOffline,112₹,80,0
Maharashtra,Pune,CarnivalPremierPlazaChinchwad,Hindi,08:25,SilverOffline,112₹,40,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,08:45,SofaOffline,130₹,18,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,08:45,PlatinumOffline,112₹,112,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,08:45,GoldOffline,100₹,65,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Hindi,08:45,SilverOffline,90₹,48,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,08:50,Gold,112₹,147,0
Maharashtra,Mumbai,InoxRaghuleelaMegaMallKandivaliW,Hindi,08:50,Premiere,112₹,51,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:55,Gold,112₹,23,0
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:55,Imperial,112₹,5,5
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:55,Platinum,112₹,20,1
Gujarat,Surat,InoxRajImperialVarachhaRoad,Hindi,08:55,Silver,112₹,10,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,09:00,Recliner,450₹,7,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,09:00,PrimePlus,175₹,66,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,09:00,Prime,150₹,65,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,Hindi,09:00,Classic,150₹,39,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Hindi,09:00,Recliner,200₹,14,4
Maharashtra,Pune,PvrMarketCityVimanNagar,Hindi,09:00,Classic,100₹,76,1
Maharashtra,Pune,PvrMarketCityVimanNagar,Hindi,09:00,Prime,100₹,123,23
Maharashtra,Pune,PvrMarketCityVimanNagar,Hindi,09:00,PrimePlus,100₹,13,6
Assam,Guwahati,CinepolisCentralMall,Hindi,09:00,Vip,300₹,2,0
Assam,Guwahati,CinepolisCentralMall,Hindi,09:00,Normal,110₹,24,0
Assam,Guwahati,CinepolisCentralMall,Hindi,09:00,Premium,110₹,40,0
Assam,Guwahati,CinepolisCentralMall,Hindi,09:00,Executive,110₹,116,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ReclinersNormal,600₹,9,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ClassicSuperior,300₹,47,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ClassicNormal,250₹,96,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,Hindi,09:00,Insignia,300₹,70,1
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,09:00,Recliner,350₹,24,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,09:00,Classic,150₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Hindi,09:00,Prime,150₹,146,15
Maharashtra,Mumbai,PvrCityOneMallPimpri,Hindi,09:00,Classic,100₹,33,33
Maharashtra,Mumbai,PvrCityOneMallPimpri,Hindi,09:00,Prime,100₹,127,127
Maharashtra,Mumbai,CarnivalRMallMulundW,Hindi,09:00,ReclinerOffline,180₹,12,1
Maharashtra,Mumbai,CarnivalRMallMulundW,Hindi,09:00,GoldOffline,110₹,140,2
Maharashtra,Mumbai,CarnivalRMallMulundW,Hindi,09:00,SilverOffline,110₹,80,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Hindi,09:00,SpecialOffline,100₹,40,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Hindi,09:00,Classic,100₹,90,0
Maharashtra,Mumbai,PvrMarketCityKurlaW,Hindi,09:00,Prime,100₹,117,21
Maharashtra,Mumbai,PvrOrionPanvel,Hindi,09:00,Classic,100₹,28,0
Maharashtra,Mumbai,PvrOrionPanvel,Hindi,09:00,Prime,100₹,115,17
Maharashtra,Mumbai,PvrOrionPanvel,Hindi,09:00,PrimePlus,100₹,34,4
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ReclinersNormal,600₹,9,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ClassicSuperior,300₹,47,0
Delhi,DelhiNcr,PvrSelectCityWalkSaket,Hindi,09:00,ClassicNormal,250₹,112,0
UttarPradesh,Agra,SarvMultiplexAgra,Hindi,09:00,Platinum,500₹,100,0
UttarPradesh,Agra,SarvMultiplexAgra,Hindi,09:00,Gold,200₹,100,0
UttarPradesh,Agra,SarvMultiplexAgra,Hindi,09:00,Silver,150₹,100,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:00,Normal,112₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:00,Premium,112₹,30,5
Maharashtra,Pune,CinepolisSeasonsMall,Hindi,09:00,Executive,112₹,79,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Hindi,09:05,Recliner,450₹,13,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Hindi,09:05,Classic,180₹,138,6
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:05,Normal,110₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:05,Premium,110₹,33,4
Gujarat,Surat,CinepolisImperialSquareMall,Hindi,09:05,Executive,110₹,81,0
Maharashtra,Mumbai,CarnivalSangamAndheriE,Hindi,09:05,ReclinerOffline,210₹,19,0
Maharashtra,Mumbai,CarnivalSangamAndheriE,Hindi,09:05,SilverOffline,112₹,270,0
Maharashtra,Mumbai,CarnivalSangamAndheriE,Hindi,09:05,BronzeOffline,112₹,62,0
Maharashtra,Mumbai,CinemaStarHighStreetMall,Hindi,09:10,Normal,110₹,211,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:15,RoyaleRecliners,190₹,14,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:15,Club,112₹,36,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:15,Executive,112₹,24,0
Maharashtra,Pune,InoxDorabjeesRoyaleHeritageMall,Hindi,09:15,Royale,112₹,42,0
Maharashtra,Mumbai,InoxRaghuleelaMallVashi,Hindi,09:15,Gold,230₹,54,2
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Hindi,09:15,Premium,180₹,89,14
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Hindi,09:15,Club,112₹,111,0
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Hindi,09:15,Executive,112₹,60,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:15,Club,112₹,32,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:15,Gold,112₹,192,0
Chhattisgarh,Raipur,InoxCityMall36GERoad,Hindi,09:15,Platinum,112₹,31,0
Gujarat,Surat,ValentineMultiplexPipload,Hindi,09:20,Executive,110₹,130,18
Gujarat,Surat,ValentineMultiplexPipload,Hindi,09:20,Royal,90₹,105,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Hindi,09:25,Normal,112₹,164,3
Uttarakhand,Roorkee,RrCinemaRoorkee,Hindi,09:30,GoldClass,300₹,16,6
Uttarakhand,Roorkee,RrCinemaRoorkee,Hindi,09:30,ExecutiveClass,200₹,178,22
Uttarakhand,Roorkee,RrCinemaRoorkee,Hindi,09:30,Classic,180₹,132,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,09:30,Club,112₹,90,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,09:30,Executive,112₹,36,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,09:30,Royal,112₹,95,2
Maharashtra,Pune,PvrKumarPacificMallSwarGate,Hindi,09:30,Classic,100₹,24,0
Maharashtra,Pune,PvrKumarPacificMallSwarGate,Hindi,09:30,Prime,100₹,192,9
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:30,Normal,110₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:30,Premium,110₹,46,20
Maharashtra,Mumbai,CinepolisVivianaMall,Hindi,09:30,Executive,110₹,106,0
Gujarat,Vadodara,CinepolisInorbitMall,Hindi,09:30,Normal,110₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,Hindi,09:30,Premium,110₹,26,0
Gujarat,Vadodara,CinepolisInorbitMall,Hindi,09:30,Executive,110₹,96,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,09:30,Recliner,250₹,34,5
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,09:30,Classic,150₹,45,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,Hindi,09:30,Prime,150₹,147,18
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:30,Premium,100₹,113,2
Delhi,DelhiNcr,CinepolisSmartBharatMall,Hindi,09:30,Classic,100₹,75,0
Maharashtra,Nagpur,InoxJaswantTuliMallKampteeRoad,Hindi,09:30,Club,112₹,170,2
Maharashtra,Nagpur,InoxJaswantTuliMallKampteeRoad,Hindi,09:30,Executive,112₹,53,0
Rajasthan,Jaipur,CarnivalGalaxyRiicoMansarovar,Hindi,09:30,LoungeOffline,110₹,130,0
Rajasthan,Jaipur,CarnivalGalaxyRiicoMansarovar,Hindi,09:30,ClubOffline,110₹,168,0
Rajasthan,Jaipur,CarnivalGalaxyRiicoMansarovar,Hindi,09:30,GalaxyClubOffline,110₹,70,1
Rajasthan,Jaipur,CarnivalGalaxyRiicoMansarovar,Hindi,09:30,PremierOffline,110₹,168,0
Maharashtra,Mumbai,InoxThakurMallDahisarE,Hindi,09:35,Gold,200₹,27,0
Maharashtra,Mumbai,InoxThakurMallDahisarE,Hindi,09:35,Executive,112₹,69,0
Maharashtra,Mumbai,InoxThakurMallDahisarE,Hindi,09:35,Premier,112₹,272,2
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Hindi,09:40,Normal,110₹,14,0
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Hindi,09:40,Premium,110₹,41,6
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Hindi,09:40,Executive,110₹,55,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,09:40,Classic,110₹,38,0
MadhyaPradesh,Indore,PvrTreasureIslandMallSouthTukoganj,Hindi,09:40,Prime,110₹,110,28
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,09:45,Classic,112₹,26,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Hindi,09:45,Prime,112₹,145,20
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,09:45,Classic,112₹,78,3
Punjab,Mohali,CinepolisBestechSquareMall,Hindi,09:45,Vip,200₹,10,0
Punjab,Mohali,CinepolisBestechSquareMall,Hindi,09:45,Normal,110₹,26,0
Punjab,Mohali,CinepolisBestechSquareMall,Hindi,09:45,Premium,110₹,38,0
Punjab,Mohali,CinepolisBestechSquareMall,Hindi,09:45,Executive,110₹,69,0
Maharashtra,Mumbai,MaxusCinemasKurla,Hindi,09:45,Sofa,130₹,100,0
Maharashtra,Mumbai,MaxusCinemasKurla,Hindi,09:45,Premium,100₹,100,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Hindi,09:45,Club,112₹,114,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Hindi,09:45,Executive,112₹,42,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Hindi,09:45,Royal,112₹,53,2
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,09:45,Normal,110₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,09:45,Premium,110₹,20,0
WestBengal,Kolkata,CinepolisAcropolisMall,Hindi,09:45,Executive,110₹,64,1
UttarPradesh,Moradabad,MovietimeMiglaniCinemasGandhiNagar,Hindi,09:45,Platinum,249₹,5,0
UttarPradesh,Moradabad,MovietimeMiglaniCinemasGandhiNagar,Hindi,09:45,Gold,112₹,97,0
UttarPradesh,Moradabad,MovietimeMiglaniCinemasGandhiNagar,Hindi,09:45,Silver,112₹,51,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,09:45,Classic,112₹,89,11
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,09:45,Recliner,200₹,9,4
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,09:45,Classic,112₹,58,0
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,09:45,Prime,112₹,72,11
Goa,Goa,InoxPorvorimBardez,Hindi,09:45,RoyalRecliner,199₹,15,0
Goa,Goa,InoxPorvorimBardez,Hindi,09:45,Club,112₹,116,0
Goa,Goa,InoxPorvorimBardez,Hindi,09:45,Executive,112₹,36,0
Goa,Goa,InoxPorvorimBardez,Hindi,09:45,Royal,112₹,59,3
Punjab,Mohali,PvrVrPunjabMallMohali,Hindi,09:50,Classic,112₹,136,2
Punjab,Mohali,PvrVrPunjabMallMohali,Hindi,09:50,Prime,112₹,86,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:50,RoyaleRecliners,280₹,15,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:50,Club,112₹,124,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:50,Executive,112₹,27,0
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,09:50,Royale,112₹,36,0
Goa,Goa,InoxOsiaGWingMargao,Hindi,09:55,Club,112₹,131,0
Goa,Goa,InoxOsiaGWingMargao,Hindi,09:55,Executive,112₹,28,0
Goa,Goa,InoxOsiaGWingMargao,Hindi,09:55,Royale,112₹,57,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:55,RoyalRecliner,200₹,15,1
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:55,Club,112₹,80,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:55,Executive,112₹,47,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,Hindi,09:55,Royal,112₹,47,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:55,RoyalRecliner,200₹,15,1
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:55,Club,112₹,80,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:55,Executive,112₹,47,0
Maharashtra,Mumbai,PaytmImaxInoxRCityGhatkoparW,Hindi,09:55,Royal,112₹,47,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,Hindi,09:55,Normal,110₹,30,0
MadhyaPradesh,Bhopal,CinepolisAashimaMall,Hindi,09:55,Premium,110₹,73,4
MadhyaPradesh,Bhopal,CinepolisAashimaMall,Hindi,09:55,Executive,110₹,102,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Hindi,09:55,Normal,110₹,24,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Hindi,09:55,Premium,110₹,28,9
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Hindi,09:55,Executive,110₹,51,1
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,10:00,Classic,112₹,40,0
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,10:00,Prime,112₹,102,21
Chhattisgarh,Bilaspur,PvrRamaMagnetoMallBilaspur,Hindi,10:00,PrimePlus,112₹,13,13
Gujarat,Ahmedabad,PvrMotera,Hindi,10:00,Recliner,250₹,23,3
Gujarat,Ahmedabad,PvrMotera,Hindi,10:00,Prime,120₹,192,21
Gujarat,Ahmedabad,PvrMotera,Hindi,10:00,Classic,110₹,54,0
Haryana,Gurgaon,PvrAmbienceGurgaon,Hindi,10:00,Prime,300₹,36,0
Haryana,Gurgaon,PvrAmbienceGurgaon,Hindi,10:00,ClassicNormal,250₹,105,0
Haryana,Panipat,FunCinemaMittalMegaMall,Hindi,10:00,Normal,110₹,60,0
Haryana,Panipat,FunCinemaMittalMegaMall,Hindi,10:00,Executive,110₹,140,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,10:00,Club,112₹,50,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,10:00,Executive,112₹,20,0
Odisha,Bhubaneswar,InoxDnRegaliaMallPatrapada,Hindi,10:00,Royal,112₹,59,6
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,10:00,Club,112₹,112,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,10:00,Executive,112₹,20,0
Gujarat,Jamnagar,InoxCrystalMallJamnagar,Hindi,10:00,Royal,112₹,34,0
Telangana,Hyderabad,PvrIconHitechMadhapur,Hindi,10:00,Classic,150₹,140,18
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Hindi,10:00,Recliner,250₹,8,8
Telangana,Hyderabad,PvrIrrumManzilKhairatabad,Hindi,10:00,Classic,150₹,142,22
Maharashtra,Mumbai,CinepolisAndheri,Hindi,10:00,Platinum,250₹,25,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,10:00,Premium,140₹,32,2
Maharashtra,Mumbai,CinepolisAndheri,Hindi,10:00,Executive,140₹,95,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,10:00,Normal,120₹,32,0
Odisha,Cuttack,InoxSgblSquareMallCuttack,Hindi,10:00,RoyalRecliner,210₹,8,1
Odisha,Cuttack,InoxSgblSquareMallCuttack,Hindi,10:00,Club,112₹,88,0
Odisha,Cuttack,InoxSgblSquareMallCuttack,Hindi,10:00,Executive,112₹,28,0
Odisha,Cuttack,InoxSgblSquareMallCuttack,Hindi,10:00,Royal,112₹,62,1
Maharashtra,Chandrapur,MirajCinemaChandrapur,Hindi,10:00,Gold,100₹,30,10
Maharashtra,Chandrapur,MirajCinemaChandrapur,Hindi,10:00,Special,100₹,70,0
Maharashtra,Chandrapur,MirajCinemaChandrapur,Hindi,10:00,Executive,100₹,105,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:00,Recliner,300₹,7,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:00,Classic,110₹,42,0
Gujarat,Vadodara,PvrTransCubeVadodara,Hindi,10:00,Prime,110₹,137,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,10:00,Club,112₹,148,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,10:00,Executive,112₹,32,0
UttarPradesh,Kanpur,InoxZSquareMallBadaChauraha,Hindi,10:00,Royal,112₹,73,4
Maharashtra,Mumbai,CinepolisAndheri,Hindi,10:00,Normal,110₹,32,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,10:00,Premium,110₹,32,2
Maharashtra,Mumbai,CinepolisAndheri,Hindi,10:00,Executive,110₹,95,0
Maharashtra,Mumbai,CinepolisAndheri,Hindi,10:00,Platinum,110₹,25,12
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Hindi,10:00,Recliner,450₹,12,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Hindi,10:00,Classic,150₹,45,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Hindi,10:00,Prime,150₹,179,13
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,10:00,Executive,100₹,167,0
Maharashtra,Ulhasnagar,AshokAnilMultiplexMirajCinemasUlhasnaga,Hindi,10:00,Gold,100₹,250,0
Bihar,PatnaCity,CinepolisPMMall,Hindi,10:00,Normal,110₹,176,13
Maharashtra,Nashik,CinemaxCityCenterNasik,Hindi,10:00,Recliner,250₹,14,8
Maharashtra,Nashik,CinemaxCityCenterNasik,Hindi,10:00,Classic,100₹,34,0
Maharashtra,Nashik,CinemaxCityCenterNasik,Hindi,10:00,Prime,100₹,139,21
WestBengal,Kolkata,InoxSouthCityMall,Hindi,10:00,Rr,420₹,67,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,10:00,Classic,112₹,138,2
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,10:00,Prime,112₹,9,3
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,10:00,Recliner,200₹,12,0
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,10:00,Classic,112₹,171,9
Haryana,Gurgaon,PvrAmbienceGurgaon,Hindi,10:00,Prime,300₹,36,2
Haryana,Gurgaon,PvrAmbienceGurgaon,Hindi,10:00,ClassicNormal,250₹,105,1
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Hindi,10:00,Classic,100₹,70,0
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Hindi,10:00,Prime,100₹,100,2
Maharashtra,Nanded,PvrTreasureBazaarMallNanded,Hindi,10:00,PrimePlus,100₹,63,23
Punjab,Amritsar,CinepolisMallOfAmritsar,Hindi,10:00,Vip,300₹,12,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Hindi,10:00,Normal,110₹,48,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Hindi,10:00,Executive,110₹,75,0
Gujarat,Ahmedabad,PvrArvedTranscube,Hindi,10:00,Recliner,250₹,3,0
Gujarat,Ahmedabad,PvrArvedTranscube,Hindi,10:00,Prime,120₹,119,15
Gujarat,Ahmedabad,PvrArvedTranscube,Hindi,10:00,Classic,110₹,36,0
Telangana,Hyderabad,PlatinumCinemasGachibowli,Hindi,10:00,PlatinumPremiumRecliner,350₹,18,4
Telangana,Hyderabad,PlatinumCinemasGachibowli,Hindi,10:00,PlatinumRecliners,350₹,16,2
WestBengal,Howrah,InoxRDMallLiluah,Hindi,10:05,Club,112₹,182,0
WestBengal,Howrah,InoxRDMallLiluah,Hindi,10:05,Executive,112₹,84,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Hindi,10:05,Vip,300₹,5,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Hindi,10:05,Normal,110₹,50,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Hindi,10:05,Premium,110₹,106,2
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Hindi,10:05,Executive,110₹,67,2
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,10:05,Executive,112₹,40,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,10:05,Premier,112₹,160,2
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,10:05,Silver,112₹,81,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:05,DressCircle,150₹,100,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:05,Galleria,150₹,28,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:05,Royal,150₹,33,0
Delhi,DelhiNcr,PvrShalimarBagh,Hindi,10:05,Prime,300₹,55,2
Delhi,DelhiNcr,PvrShalimarBagh,Hindi,10:05,Classic,260₹,133,1
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,10:05,Classic,100₹,56,0
Maharashtra,Nagpur,PvrEmpressCityMallNagpur,Hindi,10:05,Prime,100₹,166,19
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:05,DressCircle,112₹,100,6
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:05,Galleria,112₹,28,0
WestBengal,Kolkata,InoxForumMallElginRoad,Hindi,10:05,Royal,112₹,33,6
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Hindi,10:10,Classic,112₹,30,0
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Hindi,10:10,Prime,112₹,79,0
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Hindi,10:10,PrimePlus,112₹,41,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:10,Vip,250₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:10,Normal,150₹,49,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:10,Premium,150₹,75,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:10,Executive,150₹,89,0
Maharashtra,Mumbai,CinepolisMagnetMall,Hindi,10:10,Vip,200₹,10,1
Maharashtra,Mumbai,CinepolisMagnetMall,Hindi,10:10,Normal,110₹,26,0
Maharashtra,Mumbai,CinepolisMagnetMall,Hindi,10:10,Premium,110₹,46,0
Maharashtra,Mumbai,CinepolisMagnetMall,Hindi,10:10,Executive,110₹,34,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:10,Vip,250₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:10,Premium,110₹,75,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Hindi,10:10,Executive,110₹,89,0
Maharashtra,Mumbai,CinepolisVipVivianaMall,Hindi,10:10,Vip,500₹,70,8
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:10,Club,112₹,116,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:10,Executive,112₹,28,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,10:10,Royal,112₹,25,1
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,10:10,Normal,112₹,28,0
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,10:10,Premium,112₹,18,5
Delhi,DelhiNcr,CinepolisJanakCinema,Hindi,10:10,Executive,112₹,101,2
Delhi,DelhiNcr,CinepolisUnityOneMall,Hindi,10:10,Normal,112₹,26,0
Delhi,DelhiNcr,CinepolisUnityOneMall,Hindi,10:10,Executive,112₹,106,32
Delhi,DelhiNcr,CinepolisUnityOneMall,Hindi,10:10,Vip,112₹,23,10
UttarPradesh,Ghaziabad,PvrMahagunVaishali,Hindi,10:10,Recliner,200₹,10,1
UttarPradesh,Ghaziabad,PvrMahagunVaishali,Hindi,10:10,Classic,112₹,159,3
UttarPradesh,Lucknow,FunCinemaFunRepublicMall,Hindi,10:10,Normal,112₹,80,0
UttarPradesh,Lucknow,FunCinemaFunRepublicMall,Hindi,10:10,Executive,112₹,121,5
UttarPradesh,Gorakhpur,AdCinemas,Hindi,10:10,Gold,112₹,20,0
UttarPradesh,Gorakhpur,AdCinemas,Hindi,10:10,Diamond,112₹,23,0
UttarPradesh,Gorakhpur,AdCinemas,Hindi,10:10,Platinum,112₹,52,4
