State,City,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Bangalore,RocklineCinemasJalahalliCross,Kannada,10:30,Gold,150₹,193,19
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,10:30,Gold,200₹,79,0
Karnataka,Davanagere,MovietimeSsGardeniaMallDavanagere,Kannada,10:30,Premier,180₹,180,0
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,Kannada,12:45,RoyaleRecliners,220₹,8,0
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,Kannada,12:45,Club,140₹,78,0
Karnataka,Bangalore,InoxGarudaMallMagrathRoad,Kannada,12:45,Executive,130₹,115,0
Karnataka,Mysore,InoxMallOfMysoreMgRoad,Kannada,12:50,Club,140₹,200,4
Karnataka,Bangalore,InoxBrookefieldMallKundalahalli,Kannada,12:55,Club,170₹,20,0
Karnataka,Bangalore,InoxBrookefieldMallKundalahalli,Kannada,12:55,Executive,170₹,85,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,13:15,Gold,200₹,10,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,13:15,Executive,110₹,192,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,13:15,Special,110₹,80,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Kannada,13:20,Silver,140₹,67,0
Karnataka,Bangalore,InoxForumNeighbourhoodMallWhiteField,Kannada,13:20,Premiere,130₹,78,0
Karnataka,Bangalore,PvrCentralSpiritMallBellandur,Kannada,13:25,Prime,190₹,32,0
Karnataka,Bangalore,PvrCentralSpiritMallBellandur,Kannada,13:25,Classic,170₹,50,0
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,13:30,Recliner,250₹,14,2
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,13:30,Prime,170₹,80,6
Karnataka,Bangalore,PvrOrionMallDrRajkumarRoad,Kannada,13:30,Classic,150₹,128,7
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,13:35,Club,130₹,56,0
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,13:35,Executive,130₹,14,0
Karnataka,Belagavi,InoxCampRoadBelgaum,Kannada,13:35,Royal,130₹,5,0
Karnataka,Bangalore,InoxLidoMallUlsoor,Kannada,13:50,Premiere,130₹,157,0
Karnataka,Hubli,SujathaTheatreHubli,Kannada,14:30,Balcony,120₹,289,90
Karnataka,Hubli,SujathaTheatreHubli,Kannada,14:30,DCircle,100₹,558,138
Karnataka,Bangalore,RocklineCinemasJalahalliCross,Kannada,15:40,Gold,150₹,193,19
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,15:55,Prime,140₹,28,0
Karnataka,Bangalore,PvrArenaMallDoddanakundi,Kannada,15:55,Classic,112₹,90,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,16:15,Premium,170₹,28,0
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,16:15,Executive,150₹,52,12
Karnataka,Bangalore,CinepolisRoyalMeenakshiMall,Kannada,16:15,Normal,130₹,24,0
Karnataka,Bangalore,PvrVegaBannerghattaRoad,Kannada,16:20,Classic,150₹,118,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,16:30,Royal,250₹,9,0
Karnataka,Bangalore,InoxMantriSquareMalleshwaram,Kannada,16:30,Club,160₹,259,6
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,16:50,Club,160₹,111,6
Karnataka,Bangalore,InoxGarudaYelahankaBangalore,Kannada,16:50,Executive,150₹,60,0
Karnataka,Hubli,SujathaTheatreHubli,Kannada,17:30,Balcony,120₹,289,90
Karnataka,Hubli,SujathaTheatreHubli,Kannada,17:30,DCircle,100₹,558,138
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:45,Premium,150₹,29,0
Karnataka,Bangalore,CinepolisEtaNammaMall,Kannada,18:45,Executive,150₹,69,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,19:40,Vip,300₹,12,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,19:40,Normal,150₹,28,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,19:40,Premium,150₹,41,0
Karnataka,Bangalore,CinepolisSjrSpectrum,Kannada,19:40,Executive,150₹,59,5
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,19:45,Club,160₹,45,0
Karnataka,Bangalore,InoxShreeGarudaSwagathMallJayanagar,Kannada,19:45,Executive,150₹,133,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,19:45,Recliner,280₹,9,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,19:45,Prime,190₹,20,0
Karnataka,Bangalore,PvrVaishnaviSapphireMallYashwantpur,Kannada,19:45,Classic,170₹,85,22
Karnataka,Hubli,SujathaTheatreHubli,Kannada,20:30,Balcony,120₹,289,90
Karnataka,Hubli,SujathaTheatreHubli,Kannada,20:30,DCircle,100₹,558,138
