State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Arambagh,KarunaCinemaArambagh,Bengali,12:00,RearStall,40₹,600,570
WestBengal,Arambagh,KarunaCinemaArambagh,Bengali,12:00,LowerStall,35₹,100,70
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,13:00,Balcony,50₹,264,33
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,13:00,FirstClass,30₹,513,30
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:30,Royal,180₹,73,5
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:30,Club,140₹,104,8
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,13:30,Executive,140₹,34,0
WestBengal,Arambagh,KarunaCinemaArambagh,Bengali,15:00,RearStall,40₹,600,570
WestBengal,Arambagh,KarunaCinemaArambagh,Bengali,15:00,LowerStall,35₹,100,70
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,15:00,Royal,170₹,40,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,15:00,Club,150₹,72,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,15:00,Executive,140₹,36,1
WestBengal,Kolkata,AjantaCinema,Bengali,15:30,Balcony,150₹,106,84
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:00,Club,140₹,159,3
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:00,Executive,140₹,69,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:05,Recliner,420₹,21,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:05,Prime,230₹,97,3
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,16:05,Classic,190₹,45,0
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:25,Royal,180₹,73,6
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:25,Club,140₹,104,7
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:25,Executive,140₹,34,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:35,Royal,140₹,16,0
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:35,Club,112₹,134,10
WestBengal,Kolkata,InoxSwabhumiMaulanaAzadSarani,Bengali,16:35,Executive,112₹,32,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:40,Recliner,420₹,12,3
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:40,Prime,220₹,11,3
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,16:40,Classic,160₹,80,6
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,17:00,Platinum,100₹,48,0
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,17:00,Gold,80₹,102,33
WestBengal,Kolkata,InoxSouthCityMall,Bengali,17:00,Silver,220₹,156,8
WestBengal,Kolkata,InoxSouthCityMall,Bengali,17:00,Premier,200₹,34,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Bengali,17:05,Gold,250₹,27,2
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Bengali,17:05,Royal,220₹,119,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Bengali,17:05,Club,200₹,28,0
WestBengal,Siliguri,InoxVegaCircleMallSevokeRoad,Bengali,17:05,Executive,180₹,28,2
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,17:25,Premium,180₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,17:25,Executive,160₹,134,2
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,17:25,Normal,140₹,34,2
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:35,Club,140₹,229,4
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,17:35,Executive,140₹,42,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:40,Normal,170₹,22,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:40,Premium,170₹,22,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:40,Executive,170₹,55,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:50,Normal,170₹,22,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:50,Premium,170₹,22,10
WestBengal,Kolkata,CinepolisLakeMall,Bengali,17:50,Executive,170₹,55,3
WestBengal,Arambagh,KarunaCinemaArambagh,Bengali,18:00,RearStall,40₹,600,570
WestBengal,Arambagh,KarunaCinemaArambagh,Bengali,18:00,LowerStall,35₹,100,70
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,18:35,Royal,300₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,18:35,CoupleSeats,140₹,12,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,18:35,Premier,140₹,53,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,18:35,Silver,140₹,184,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,18:50,Prime,180₹,6,2
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,18:50,Classic,150₹,183,2
WestBengal,Kolkata,MinarCinemaACDolbyKolkata,Bengali,19:00,Balcony,120₹,211,96
WestBengal,Kolkata,MinarCinemaACDolbyKolkata,Bengali,19:00,RearStall,100₹,270,100
WestBengal,Kolkata,ChhabigharCinemaBaithakkhana,Bengali,19:00,Balcony,100₹,144,84
