State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,09:30,Normal,150₹,26,0
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,09:30,Premium,150₹,28,0
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,09:30,Executive,150₹,116,0
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,19:10,Premium,220₹,50,0
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,19:10,Executive,180₹,78,0
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,19:10,Normal,150₹,36,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:10,Premium,170₹,33,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:10,Normal,150₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:10,Executive,150₹,79,1
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:10,Premium,170₹,33,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:10,Normal,150₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,19:10,Executive,150₹,79,1
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,22:05,Normal,150₹,24,0
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,22:05,Premium,150₹,26,0
Gujarat,Vadodara,CinepolisInorbitMall,Gujarathi,22:05,Executive,150₹,93,0
