State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:50,Royal,180₹,63,23
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:50,Club,140₹,92,29
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,11:50,Executive,140₹,32,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,13:00,Boxa,100₹,14,2
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,13:00,Boxb,100₹,14,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,13:00,Balcony,80₹,90,38
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,13:00,RearStall,60₹,176,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:10,Royal,400₹,20,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:10,CoupleSeats,220₹,11,0
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:10,Silver,220₹,186,27
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,13:10,Premier,200₹,53,2
WestBengal,Jalpaiguri,CinebazzUkilpara,Bengali,14:15,Regular,80₹,10,0
WestBengal,Jalpaiguri,CinebazzUkilpara,Bengali,14:15,Premium,80₹,55,0
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,14:30,Platinum,100₹,48,6
WestBengal,Kolkata,RupMandirCinemaKolkata,Bengali,14:30,Gold,80₹,102,48
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:50,Silver,290₹,156,49
WestBengal,Kolkata,InoxSouthCityMall,Bengali,14:50,Premier,270₹,34,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:10,Recliner,470₹,12,12
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:10,Prime,300₹,11,11
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,15:10,Classic,250₹,192,93
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:40,Vip,450₹,10,10
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:40,Premium,250₹,19,18
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:40,Executive,230₹,164,118
WestBengal,Kolkata,CinepolisLakeMall,Bengali,15:40,Normal,210₹,40,3
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:00,Club,230₹,247,65
WestBengal,Howrah,InoxForumRangoliMallBelur,Bengali,16:00,Executive,210₹,88,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,16:05,Prime,350₹,6,3
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,16:05,Classic,260₹,183,68
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,16:40,Club,250₹,229,184
WestBengal,Kolkata,InoxCityCentreIiRajarhat,Bengali,16:40,Executive,200₹,42,2
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:45,Royal,220₹,63,58
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:45,Club,200₹,95,78
WestBengal,Kolkata,InoxStarMallMadhyamgram,Bengali,16:45,Executive,160₹,30,4
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:55,Royale,290₹,31,29
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:55,DressCircle,270₹,158,130
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,16:55,Galleria,200₹,36,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,17:05,Royal,180₹,40,39
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,17:05,Club,170₹,72,71
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,17:05,Executive,160₹,36,32
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,17:15,Diamond,150₹,115,46
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,17:15,Silver,130₹,40,0
WestBengal,Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,17:15,Gold,130₹,60,16
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,17:30,Royal,410₹,14,10
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,17:30,Silver,240₹,146,138
WestBengal,Kolkata,InoxMetropolisMallHilandPark,Bengali,17:30,Premier,200₹,36,12
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,18:45,Premium,260₹,77,50
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,18:45,Executive,240₹,134,79
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,18:45,Normal,220₹,34,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,18:55,Rr,480₹,16,16
WestBengal,Kolkata,InoxSouthCityMall,Bengali,18:55,Silver,300₹,151,103
WestBengal,Kolkata,InoxSouthCityMall,Bengali,18:55,Premier,270₹,32,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,19:00,Boxa,100₹,14,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,19:00,Boxb,100₹,14,0
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,19:00,Balcony,80₹,90,38
WestBengal,Jiaganj,MahabirJainMunicipaltyCulturalJiaganj,Bengali,19:00,RearStall,60₹,176,0
WestBengal,Jalpaiguri,CinebazzUkilpara,Bengali,19:00,Regular,80₹,10,0
WestBengal,Jalpaiguri,CinebazzUkilpara,Bengali,19:00,Premium,80₹,55,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:30,Recliner,470₹,12,12
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:30,Prime,300₹,11,11
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,19:30,Classic,250₹,80,47
